{{Base item
|rarity_id                               = normal
|name                                    = Succor of the Sinless
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Blessed is the blood of the beholden disciple. The earth is anointed by his step. The damnable are sanctified by his strike.
|drop_level                              = 79
|tags                                    = unique_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardSuccorOfTheSinless
|stack_size                              = 6
|description                             = {{c|unique|{{il|html=|Bottled Faith}}}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
