{{Mod
|id                               = IncreasedMaximumPowerChargesUnique__3
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = IncreasedMaximumPowerCharges
|mod_type                         = IncreasedMaximumPowerCharges
|game_mode                        = 0
|stat_text                        = +2 to Maximum [[Power Charge|Power Charges]]
|stat1_id                         = max_power_charges
|stat1_min                        = 2
|stat1_max                        = 2
|tags                             = power_charge
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
