{{Base item
|rarity_id                               = normal
|name                                    = The Tireless Extractor
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "I am not alone in this. I have God by my side! And... you help sometimes, I suppose."<br>- Sister Cassia
|drop_level                              = 68
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheTirelessExtractor
|stack_size                              = 8
|description                             = {{c|currency|10x Oil}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
