{{Mod
|id                               = MoreDamagePerWarcryExertingUnique__1
|mod_groups                       = MoreDamagePerWarcryExerting
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MoreDamagePerWarcryExerting
|stat_text                        = [[Skill|Skills]] deal (10-15)% more Damage for each Warcry Exerting them
|stat1_id                         = unique_helmet_damage_+%_final_per_warcry_exerting_action
|stat1_min                        = 10
|stat1_max                        = 15
}}
