{{Base item
|rarity_id                               = normal
|name                                    = The Leviathan
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = Ancient behemoths swam the<br>depths of the oceans long<br>before Man walked these lands.
|drop_level                              = 81
|tags                                    = unique_divination, corrupted_divination, unique_corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheLeviathan
|stack_size                              = 7
|description                             = {{c|unique|Maven Item}}<br>{{c|corrupted|[[Two-Implicit]]}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
