{{Mod
|id                               = GlobalChanceToBlindOnHitUniqueSceptre8
|mod_groups                       = BlindOnHit
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = GlobalChanceToBlindOnHit
|stat_text                        = 10% Global chance to Blind Enemies on [[Hit|hit]]
|stat1_id                         = global_chance_to_blind_on_hit_%
|stat1_min                        = 10
|stat1_max                        = 10
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
