{{Mod
|id                               = MinionArmourUniqueHelmetStrDex5
|mod_groups                       = MinionArmour
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionArmour
|stat_text                        = [[Minion|Minions]] have +(300-350) to [[Armour]]
|stat1_id                         = minion_physical_damage_reduction_rating
|stat1_min                        = 300
|stat1_max                        = 350
|tags                             = defences, armour, minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
