{{Passive skill
|id                                  = AscendancyAssassin6
|int_id                              = 21264
|name                                = Ambush and Assassinate
|ascendancy_class                    = Assassin
|is_notable                          = True
|icon                                = Ambush (Assassin)
|stat1_id                            = critical_strike_multiplier_vs_enemies_on_full_life_+
|stat1_value                         = 40
|stat2_id                            = ambush_passive_critical_strike_chance_vs_enemies_on_full_life_+%_final
|stat2_value                         = 100
|stat3_id                            = crits_have_culling_strike
|stat3_value                         = 1
|stat4_id                            = damage_vs_enemies_on_low_life_+%_final
|stat4_value                         = 15
|stat5_id                            = assassinate_passive_critical_strike_chance_vs_enemies_on_low_life_+%_final
|stat5_value                         = 100
|stat_text                           = +40% to [[Critical Strike Multiplier]] against Enemies that are on [[Full Life]]<br>100% more [[Critical Strike Chance]] against Enemies that are on [[Full Life]]<br>Critical Strikes have Culling Strike<br>15% more Damage with [[Hit|Hits]] and Ailments against Enemies that are on [[Low Life]]<br>100% more [[Critical Strike Chance]] against Enemies that are on [[Low Life]]
|connections                         = AscendancyAssassin5
}}
