{{Mod
|id                               = FlaskFullRechargeOnHit5___
|mod_groups                       = FlaskRechargeRate
|domain                           = 2
|generation_type                  = 1
|required_level                   = 80
|name                             = Flagellant's
|mod_type                         = FlaskFullRechargeOnHit
|stat_text                        = Gain 3 [[Charge|Charges]] when you are [[Hit]] by an Enemy
|stat1_id                         = local_flask_gain_X_charges_when_hit
|stat1_min                        = 3
|stat1_max                        = 3
|spawn_weight1_tag                = default
|spawn_weight1_value              = 600
|tags                             = flask
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
