{{Mod
|id                               = SupportedByCastOnMeleeKillUber1
|mod_groups                       = WeaponSupportUber
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Shaper's
|granted_skill                    = SupportCastOnMeleeKill, SupportCastOnMeleeKillTriggered
|mod_type                         = SupportedByCastOnMeleeKillWeapon
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Cast on Melee Kill Support|Level 18 Cast On Melee Kill]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_cast_on_kill
|stat1_min                        = 18
|stat1_max                        = 18
|spawn_weight1_tag                = grants_2h_support
|spawn_weight1_value              = 0
|spawn_weight2_tag                = 2h_mace_shaper
|spawn_weight2_value              = 250
|spawn_weight3_tag                = 2h_axe_shaper
|spawn_weight3_value              = 250
|spawn_weight4_tag                = 2h_sword_shaper
|spawn_weight4_value              = 250
|spawn_weight5_tag                = staff_shaper
|spawn_weight5_value              = 250
|spawn_weight6_tag                = warstaff_shaper
|spawn_weight6_value              = 250
|spawn_weight7_tag                = default
|spawn_weight7_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
