{{Mod
|id                               = JunMasterMinimumFrenzyCharges1
|domain                           = 9
|generation_type                  = 2
|required_level                   = 75
|name                             = of Craft
|mod_groups                       = MinimumFrenzyCharges
|mod_type                         = MinimumFrenzyCharges
|game_mode                        = 0
|stat_text                        = +1 to Minimum [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = base_minimum_frenzy_charges
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = amulet
|spawn_weight2_value              = 0
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = frenzy_charge, unveiled_mod
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
