{{Passive skill
|id                                  = affliction_notable_aggressive_defence
|int_id                              = 29764
|name                                = Aggressive Defence
|is_notable                          = True
|icon                                = IncreasedAttackDamageNotable
|stat1_id                            = fortification_gained_from_hits_+%
|stat1_value                         = 60
|stat2_id                            = fortify_duration_+%
|stat2_value                         = 30
|stat3_id                            = attack_damage_+%_while_you_have_fortify
|stat3_value                         = 20
|stat_text                           = Fortifying [[Hit|Hits]] grant 60% increased Fortification<br>30% increased Fortification Duration<br>20% increased Damage with [[Attack]] [[Skill|Skills]] while Fortified
}}
