{{Passive skill
|id                                  = AscendancyNecromancer4
|int_id                              = 39818
|name                                = Minion Damage and Life
|ascendancy_class                    = Necromancer
|icon                                = IncreasedMinionDamageIncreasedSkillDuration (Necromancer)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = minion_maximum_life_+%
|stat2_value                         = 10
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>[[Minion|Minions]] have 10% increased maximum [[Life]]
|connections                         = AscendancyNecromancer8,AscendancyNecromancer7,AscendancyNecromancer8
}}
