{{Mod
|id                               = MercenaryModMineLifeReserve
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = Infamous
|mod_groups                       = MineLifeReserve
|mod_type                         = MineLifeReserve
|game_mode                        = 0
|stat_text                        = Your [[Skill|Skills]] that throw [[Mine|Mines]] reserve [[Life]] instead of [[Mana]]
|stat1_id                         = skills_that_throw_mines_reserve_life
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = resource, life
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
