{{Mod
|id                               = SpellAddedLightningDamageHybridDelve
|mod_groups                       = SpellAddedLightningDamageHybrid
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = SpellAddedLightningDamageHybrid
|stat_text                        = Adds (1-4) to (50-53) [[Lightning Damage]] to [[Spell|Spells]]<br>(20-40)% increased [[Lightning Damage]]
|stat1_id                         = spell_minimum_added_lightning_damage
|stat1_min                        = 1
|stat1_max                        = 4
|stat2_id                         = spell_maximum_added_lightning_damage
|stat2_min                        = 50
|stat2_max                        = 53
|stat3_id                         = lightning_damage_+%
|stat3_min                        = 20
|stat3_max                        = 40
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, lightning, caster
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
