{{Mod
|id                               = TinctureMinimumChill1
|mod_groups                       = WeaponMinimumChill
|domain                           = 34
|generation_type                  = 1
|required_level                   = 70
|name                             = Frigid
|mod_type                         = WeaponMinimumChill
|stat_text                        = [[Chill|Chills]] from your [[Hit|Hits]] always reduce Action Speed by at least (10-12)%
|stat1_id                         = weapon_chill_minimum_slow_%
|stat1_min                        = 10
|stat1_max                        = 12
|spawn_weight1_tag                = tincture
|spawn_weight1_value              = 100
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
