{{Passive skill
|id                                  = affliction_notable_prismatic_heart
|int_id                              = 17050
|name                                = Prismatic Heart
|is_notable                          = True
|icon                                = IncreasedElementalDamage
|stat1_id                            = elemental_damage_+%
|stat1_value                         = 30
|stat2_id                            = base_resist_all_elements_%
|stat2_value                         = 10
|stat_text                           = 30% increased [[Elemental Damage]]<br>+10% to all [[Elemental Resistance|Elemental Resistances]]
}}
