{{Mod
|id                               = CannotBePoisonedUnique__1
|mod_groups                       = CannotBePoisoned
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = CannotBePoisoned
|stat_text                        = Cannot be [[Poison|Poisoned]]
|stat1_id                         = cannot_be_poisoned
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
