{{Passive skill
|id                                  = atlas_keystone_shaper
|int_id                              = 34546
|name                                = Cosmic Wounds
|flavour_text                        = A single act of love and defiance may cascade destruction across the cosmos.
|is_keystone                         = True
|is_atlas_passive                    = True
|icon                                = ShaperAndElderKeystone
|stat1_id                            = atlas_keystone_uber_shaper
|stat1_value                         = 1
|stat2_id                            = shapers_realm_map_monster_damage_taken_+%_final
|stat2_value                         = -70
|stat3_id                            = map_uber_elder_and_shaper_orb_of_dominance_drop_chance_%
|stat3_value                         = 100
|stat_text                           = The Shaper's Realm is [[Level|level]] 85<br />The Shaper's and The Elder's full power are unleashed in The Shaper's Realm<br>The Shaper and The Elder in The Shaper's Realm have 100% increased<br />chance to drop an Orb of Dominance
}}
