{{Mod
|id                               = TotemDamageSpellUberMaven_
|mod_groups                       = TotemSupported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 90
|name                             = of the Elevated Elder
|granted_skill                    = SupportSpellTotem
|mod_type                         = TotemDamageSpellSupported
|stat_text                        = (31-35)% increased [[Totem]] Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Spell Totem Support|Level 25 Spell Totem]]
|stat1_id                         = totem_damage_+%
|stat1_min                        = 31
|stat1_max                        = 35
|stat2_id                         = local_display_socketed_gems_get_spell_totem_level
|stat2_min                        = 25
|stat2_max                        = 25
|spawn_weight1_tag                = boots_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
