{{Mod
|id                               = ReflectedElementalDamageRingInfluence2
|mod_groups                       = ReflectedDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Hunter's
|mod_type                         = ReducedElementalReflectTaken
|stat_text                        = You and your [[Minion|Minions]] take (55-46)% reduced Reflected [[Elemental Damage]]
|stat1_id                         = elemental_reflect_damage_taken_and_minion_elemental_reflect_damage_taken_+%
|stat1_min                        = -55
|stat1_max                        = -46
|spawn_weight1_tag                = ring_basilisk
|spawn_weight1_value              = 500
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
