{{Mod
|id                               = SupportedByFortifyUberMaven_
|mod_groups                       = DisplaySocketedGemGetsFortify
|domain                           = 1
|generation_type                  = 1
|required_level                   = 78
|name                             = Elevated Elder's
|granted_skill                    = SupportFortify
|mod_type                         = DisplaySocketedGemsSupportedByFortify
|stat_text                        = [[Item socket|Socketed]] Gems are Supported by [[Fortify Support|Level 25 Fortify]]
|stat1_id                         = local_display_socketed_gems_supported_by_level_x_fortify
|stat1_min                        = 25
|stat1_max                        = 25
|spawn_weight1_tag                = boots_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, gem
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
