{{Mod
|id                               = SynthesisImplicitCurseEffect1
|mod_groups                       = CurseEffectiveness
|domain                           = 1
|generation_type                  = 3
|required_level                   = 60
|mod_type                         = CurseEffectiveness
|stat_text                        = (6-10)% increased Effect of your [[Curse|Curses]]
|stat1_id                         = curse_effect_+%
|stat1_min                        = 6
|stat1_max                        = 10
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
