{{Mod
|id                               = MinionAttackDodgeChanceUnique__1
|mod_groups                       = MinionDodgeChance
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = MinionSpellDodgeChance
|stat_text                        = [[Minion|Minions]] have +(10-12)% chance to Suppress [[Spell Damage]]
|stat1_id                         = minion_spell_suppression_chance_%
|stat1_min                        = 10
|stat1_max                        = 12
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
