{{Mod
|id                               = TotemSpeedAttackUber2
|mod_groups                       = TotemSupported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 75
|name                             = of Shaping
|granted_skill                    = SupportRangedAttackTotem
|mod_type                         = TotemSpeedAttackSupported
|stat_text                        = (13-16)% increased [[Totem]] Placement speed<br>[[Item socket|Socketed]] Gems are Supported by [[Level]] 20 Ballista [[Totem]]
|stat1_id                         = summon_totem_cast_speed_+%
|stat1_min                        = 13
|stat1_max                        = 16
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_ranged_attack_totem
|stat2_min                        = 20
|stat2_max                        = 20
|spawn_weight1_tag                = boots_shaper
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, speed, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
