{{Mod
|id                               = LocalIncreaseSocketedChaosGemLevel1
|mod_groups                       = IncreaseSpecificSocketedGemLevel
|domain                           = 1
|generation_type                  = 1
|required_level                   = 4
|name                             = Nihilist's
|mod_type                         = LocalIncreaseSocketedChaosGemLevel
|stat_text                        = +1 to [[Level]] of [[Item socket|Socketed]] Chaos Gems
|stat1_id                         = local_socketed_chaos_gem_level_+
|stat1_min                        = 1
|stat1_max                        = 1
|spawn_weight1_tag                = attack_staff
|spawn_weight1_value              = 1000
|spawn_weight2_tag                = attack_dagger
|spawn_weight2_value              = 1000
|spawn_weight3_tag                = default
|spawn_weight3_value              = 0
|tags                             = chaos, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
