{{Passive skill
|id                                  = AscendancyCustomAscendant51
|int_id                              = 12264
|name                                = Soul Taker
|ascendancy_class                    = Ascendant
|is_multiple_choice_option           = True
|icon                                = BluntInstrument
|stat1_id                            = melee_attacks_usable_without_mana_cost
|stat1_value                         = 1
|stat2_id                            = physical_damage_can_chill
|stat2_value                         = 1
|stat_text                           = Insufficient [[Mana]] doesn't prevent your Melee [[Attack|Attacks]]<br>Your [[Physical Damage]] can [[Chill]]
}}
