{{Mod
|id                               = CullingAgainstFrozenEnemiesUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CullingStrike
|mod_type                         = CullingAgainstFrozenEnemies
|game_mode                        = 0
|stat_text                        = Culling Strike against [[Freeze|Frozen]] Enemies
|stat1_id                         = culling_strike_on_frozen_enemies
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
