{{Mod
|id                               = MinionAreaOfEffectDelve
|mod_groups                       = MinionAreaOfEffect
|domain                           = 1
|generation_type                  = 1
|required_level                   = 60
|name                             = Subterranean
|mod_type                         = MinionAreaOfEffect
|stat_text                        = [[Minion|Minions]] have (20-30)% increased Area of Effect
|stat1_id                         = minion_skill_area_of_effect_+%
|stat1_min                        = 20
|stat1_max                        = 30
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = minion
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
