{{Passive skill
|id                                  = AscendancyCustomHeirophant9
|int_id                              = 27380
|name                                = Graveyard Shift
|ascendancy_class                    = Hierophant
|is_notable                          = True
|icon                                = IncreasedMinionDamageNotable
|stat1_id                            = raised_zombies_are_usable_as_corpses_when_alive
|stat1_value                         = 1
|stat2_id                            = raise_zombie_does_not_use_corpses
|stat2_value                         = 1
|stat3_id                            = movement_speed_+%_per_nearby_corpse
|stat3_value                         = 1
|stat_text                           = Your Raised Zombies count as corpses<br>[[Raise Zombie]] does not require a corpse<br>For each [[Nearby|nearby]] corpse, 1% increased [[Movement Speed]]
}}
