{{Base item
|rarity_id                               = normal
|name                                    = The Bitter Blossom
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The pain you feel is of no consequence, it is evolution, to be made whole within something greater.
|drop_level                              = 72
|tags                                    = corrupted_divination, gems_divination, gems_quality_divination, gems_levelled_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheBitterBlossom
|stack_size                              = 3
|description                             = {{c|gem|Level 21 Chaos Gem}}<br>{{c|default|Quality:}} {{c|augmented|+23%}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
