{{Mod
|id                               = AuraEffectOnEnemiesDelve_____
|mod_groups                       = AuraEffectOnEnemies
|domain                           = 1
|generation_type                  = 2
|required_level                   = 60
|name                             = of the Underground
|mod_type                         = AuraEffectOnEnemies
|stat_text                        = (12-18)% increased Effect of Non-Curse Auras from your [[Skill|Skills]] on Enemies
|stat1_id                         = non_curse_aura_effect_+%_vs_enemies
|stat1_min                        = 12
|stat1_max                        = 18
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = aura
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
