{{Mod
|id                               = AddedPhysicalDamage2Inverted
|mod_groups                       = PhysicalDamage
|domain                           = 1
|generation_type                  = 1
|required_level                   = 13
|name                             = Burnished
|mod_type                         = SelfPhysicalDamageTaken
|stat_text                        = Adds (2-3) to (4-5) [[Physical Damage]] to [[Attack|Attacks]] against you
|stat1_id                         = from_self_minimum_added_attack_physical_damage_taken
|stat1_min                        = 2
|stat1_max                        = 3
|stat2_id                         = from_self_maximum_added_attack_physical_damage_taken
|stat2_min                        = 4
|stat2_max                        = 5
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = physical_damage, damage, physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
