{{Mod
|id                               = EnchantmentBaneLinkedCurseEffect1_
|mod_groups                       = SkillEnchantment
|domain                           = 1
|generation_type                  = 10
|required_level                   = 66
|name                             = Enchantment Bane Linked Curse Effect 1
|mod_type                         = EnchantmentBaneLinkedCurseEffect
|stat_text                        = 10% increased Effect of [[Curse|Curses]] applied by Bane
|stat1_id                         = dark_ritual_linked_curse_effect_+%
|stat1_min                        = 10
|stat1_max                        = 10
|spawn_weight1_tag                = helmet
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = caster, curse
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
