{{Mod
|id                               = AddedFireDamageToSpellsAndAttacksUber1
|mod_groups                       = AddedFireDamageSpellsAndAttacks
|domain                           = 1
|generation_type                  = 1
|required_level                   = 68
|name                             = The Elder's
|mod_type                         = AddedFireDamageSpellsAndAttacks
|stat_text                        = Adds (17-20) to (38-42) [[Fire Damage]] to [[Spell|Spells]] and [[Attack|Attacks]]
|stat1_id                         = spell_and_attack_minimum_added_fire_damage
|stat1_min                        = 17
|stat1_max                        = 20
|stat2_id                         = spell_and_attack_maximum_added_fire_damage
|stat2_min                        = 38
|stat2_max                        = 42
|spawn_weight1_tag                = ring_elder
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = elemental_damage, caster_damage, damage, elemental, fire, attack, caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
