{{Mod
|id                               = AddedColdDamageColdPenetration3
|mod_groups                       = AddedColdDamageColdPenetration
|domain                           = 1
|generation_type                  = 3
|required_level                   = 75
|mod_type                         = AddedColdDamageColdPenetration
|stat_text                        = Adds (75-85) to (115-128) [[Cold Damage]]<br>Your [[Hit|Hits]] treat [[Cold Resistance]] as 10% higher than actual value
|stat1_id                         = global_minimum_added_cold_damage
|stat1_min                        = 75
|stat1_max                        = 85
|stat2_id                         = global_maximum_added_cold_damage
|stat2_min                        = 115
|stat2_max                        = 128
|stat3_id                         = base_reduce_enemy_cold_resistance_%
|stat3_min                        = -10
|stat3_max                        = -10
|tags                             = elemental_damage, damage, elemental, cold
}}
