{{Mod
|id                               = MineAreaOfEffectEnhancedLevel50Mod
|mod_groups                       = AreaOfEffect
|domain                           = 1
|generation_type                  = 2
|required_level                   = 50
|name                             = of Matatl
|mod_type                         = MineAreaOfEffect
|stat_text                        = [[Skill|Skills]] used by [[Mine|Mines]] have (22-25)% increased Area of Effect
|stat1_id                         = mine_area_of_effect_+%
|stat1_min                        = 22
|stat1_max                        = 25
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
