{{Passive skill
|id                                  = AscendancyRaider10
|int_id                              = -31891
|name                                = Oath of Summer
|ascendancy_class                    = Warden
|is_notable                          = True
|icon                                = WardenFireAilments (Warden)
|stat1_id                            = apply_scorch_instead_of_ignite
|stat1_value                         = 1
|stat2_id                            = can_apply_additional_scorch
|stat2_value                         = 1
|stat_text                           = [[Hit|Hits]] that would [[Ignite]] instead Scorch<br>You can inflict an additional Scorch on each Enemy
}}
