{{Mod
|id                               = ArmourWhileFrozenUniqueRing18
|mod_groups                       = ArmourWhileFrozen
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ArmourWhileFrozen
|stat_text                        = +5000 to [[Armour]] while [[Freeze|Frozen]]
|stat1_id                         = physical_damage_reduction_rating_while_frozen
|stat1_min                        = 5000
|stat1_max                        = 5000
|tags                             = defences, armour
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
