{{Passive skill
|id                                  = AscendancyCustomElementalist12_
|int_id                              = 57157
|name                                = Scourge
|ascendancy_class                    = Elementalist
|is_notable                          = True
|icon                                = HeraldDamageNotable
|stat1_id                            = maximum_virulence_stacks
|stat1_value                         = 25
|stat2_id                            = base_number_of_champions_of_light_allowed
|stat2_value                         = 2
|stat3_id                            = minion_damage_+%_while_affected_by_a_herald
|stat3_value                         = 66
|stat_text                           = +25 to Maximum Virulence<br>+2 to maximum number of Sentinels of Purity<br>[[Minion|Minions]] deal 66% increased Damage while you are affected by a Herald
}}
