{{Mod
|id                               = ReflectPoisonsToSelfUnique__1
|mod_groups                       = ReflectPoisonsToSelf
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ReflectPoisonsToSelf
|stat_text                        = [[Poison]] you inflict is Reflected to you if you have fewer than 100 [[Poison|Poisons]] on you
|stat1_id                         = poison_reflected_to_self
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = poison, chaos, ailment
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
