{{Base item
|rarity_id                               = normal
|name                                    = The Catch
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = The largest hooks offer the greatest catch, but often the catch is the hook.
|drop_level                              = 68
|tags                                    = weapon_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheCatch
|stack_size                              = 18
|description                             = {{c|white|{{il|html=|Fishing Rod}}}}<br>{{c|enchanted|Incubated}}<br>{{c|default|Item Level:}} {{c|normal|99}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
