{{Passive skill
|id                                  = AscendancySaboteur16
|int_id                              = 47778
|name                                = Bomb Specialist
|ascendancy_class                    = Saboteur
|is_notable                          = True
|icon                                = BombSpecialist (Saboteur)
|stat1_id                            = %_chance_to_deal_150%_area_damage_+%_final
|stat1_value                         = 30
|stat2_id                            = take_half_area_damage_from_hit_%_chance
|stat2_value                         = 30
|stat_text                           = [[Hit|Hits]] have 30% chance to deal 50% more Area Damage<br>30% chance to take 50% less Area Damage from [[Hit|Hits]]
|connections                         = AscendancySaboteur5,AscendancySaboteur17,AscendancySaboteur5
}}
