{{Mod
|id                               = AddedChaosDamageCorrupted1
|mod_groups                       = ChaosDamage
|domain                           = 1
|generation_type                  = 5
|required_level                   = 1
|mod_type                         = ChaosDamage
|stat_text                        = Adds 1 to (2-3) [[Chaos Damage]] to [[Attack|Attacks]]
|stat1_id                         = attack_minimum_added_chaos_damage
|stat1_min                        = 1
|stat1_max                        = 1
|stat2_id                         = attack_maximum_added_chaos_damage
|stat2_min                        = 2
|stat2_max                        = 3
|spawn_weight1_tag                = ring
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, damage, chaos, attack
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 1
}}
