{{Mod
|id                               = ExpansionJewelEmptyPassiveUnique__1
|domain                           = 21
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = JewelExpansionEmptyPassive
|mod_type                         = UniqueExpansionJewelEmptyPassive
|game_mode                        = 0
|stat_text                        = Adds 1 Small [[Passive skill|Passive Skill]] which grants nothing
|stat1_id                         = local_unique_jewel_grants_x_empty_passives
|stat1_min                        = 1
|stat1_max                        = 1
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
