{{Mod
|id                               = LocalVaalLuckyDamageUnique__1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 80
|mod_groups                       = LocalVaalLuckyDamage
|granted_skill                    = UniqueSupportLocalVaalLuckyDamage
|mod_type                         = LocalVaalLuckyDamage
|game_mode                        = 0
|stat_text                        = Damage with [[Hit|Hits]] from [[Item socket|Socketed]] Vaal [[Skill|Skills]] is [[Lucky]]
|stat1_id                         = local_display_socketed_vaal_skills_extra_damage_rolls
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = damage, vaal
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
