{{Passive skill
|id                                  = AscendancyNecromancer2
|int_id                              = 18309
|name                                = Minion Damage, Skill Duration
|ascendancy_class                    = Necromancer
|icon                                = IncreasedMinionDamageIncreasedMinionLife (Necromancer)
|stat1_id                            = minion_damage_+%
|stat1_value                         = 10
|stat2_id                            = skill_effect_duration_+%
|stat2_value                         = 10
|stat_text                           = [[Minion|Minions]] deal 10% increased Damage<br>10% increased [[Skill]] Effect Duration
|connections                         = AscendancyNecromancer10,AscendancyNecromancerStart
}}
