{{Mod
|id                               = WrathPhysicalAddedAsLightning_
|mod_groups                       = AuraBonus
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = WrathPhysicalAddedAsLightning
|stat_text                        = Gain (15-25)% of [[Physical Damage]] as Extra [[Lightning Damage]] while affected by [[Wrath]]
|stat1_id                         = physical_damage_%_to_add_as_lightning_damage_while_affected_by_wrath
|stat1_min                        = 15
|stat1_max                        = 25
|tags                             = physical_damage, elemental_damage, damage, physical, elemental, lightning
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 6
}}
