{{Mod
|id                               = AbyssMinionAddedChaosDamageJewel6
|mod_groups                       = MinionAddedChaosDamage
|domain                           = 13
|generation_type                  = 1
|required_level                   = 84
|name                             = Malicious
|mod_type                         = MinionAddedChaosDamage
|stat_text                        = [[Minion|Minions]] deal (23-26) to (33-39) additional [[Chaos Damage]]
|stat1_id                         = minion_global_minimum_added_chaos_damage
|stat1_min                        = 23
|stat1_max                        = 26
|stat2_id                         = minion_global_maximum_added_chaos_damage
|stat2_min                        = 33
|stat2_max                        = 39
|spawn_weight1_tag                = abyss_jewel_summoner
|spawn_weight1_value              = 175
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = chaos_damage, damage, chaos, minion
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 1
}}
