{{Base item
|rarity_id                               = normal
|name                                    = The Rabbit's Foot
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = It is said anyone who bears this trinket is the luckiest exile in all of Wraeclast. The gods would disagree, and forever curse any whom give it away.
|drop_level                              = 50
|tags                                    = currency_divination, currency_league_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTheRabbitsFoot
|stack_size                              = 8
|description                             = {{c|currency|10x Incursion Vial}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
