{{Passive skill
|id                                  = melee_area_of_effect2359
|int_id                              = 50969
|name                                = Melee Area of Effect and Damage
|icon                                = MeleeAoENode
|stat1_id                            = melee_skills_area_of_effect_+%
|stat1_value                         = 5
|stat2_id                            = melee_damage_+%
|stat2_value                         = 10
|stat_text                           = Melee [[Skill|Skills]] have 5% increased Area of Effect<br>10% increased Melee Damage
|connections                         = melee_area_of_effect_noable2360,melee_area_of_effect2358,melee_area_of_effect_noable2360
}}
