{{Passive skill
|id                                  = affliction_notable_fearsome_warrior
|int_id                              = 20996
|name                                = Fearsome Warrior
|is_notable                          = True
|icon                                = TwoHandedMeleeDamage
|stat1_id                            = two_handed_melee_weapon_hit_and_ailment_damage_+%
|stat1_value                         = 25
|stat2_id                            = base_skill_area_of_effect_+%
|stat2_value                         = 8
|stat3_id                            = chance_to_intimidate_nearby_enemies_on_melee_kill_%
|stat3_value                         = 25
|stat_text                           = [[Attack|Attacks]] with [[Two Handed Melee Weapons]] deal 25% increased Damage with [[Hit|Hits]] and Ailments<br>8% increased Area of Effect<br>25% chance to Intimidate nearby Enemies for 4 seconds on Melee [[Kill]]
}}
