{{Mod
|id                               = TotemDamageAttackUber1
|mod_groups                       = TotemSupported
|domain                           = 1
|generation_type                  = 2
|required_level                   = 68
|name                             = of Shaping
|granted_skill                    = SupportRangedAttackTotem
|mod_type                         = TotemDamageAttackSupported
|stat_text                        = (20-25)% increased [[Totem]] Damage<br>[[Item socket|Socketed]] Gems are Supported by [[Level]] 18 Ballista [[Totem]]
|stat1_id                         = totem_damage_+%
|stat1_min                        = 20
|stat1_max                        = 25
|stat2_id                         = local_display_socketed_gems_supported_by_level_x_ranged_attack_totem
|stat2_min                        = 18
|stat2_max                        = 18
|spawn_weight1_tag                = boots_shaper
|spawn_weight1_value              = 250
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = support, damage, gem
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
