{{Passive skill
|id                                  = atlas_blight_4274
|int_id                              = 2989
|name                                = Sturdy Construction
|is_notable                          = True
|is_atlas_passive                    = True
|icon                                = BightIchorPumpTower (AtlasTrees)
|stat1_id                            = map_inchor_pump_has_double_durability
|stat1_value                         = 100
|stat2_id                            = map_blight_tower_damage_+%_final_from_atlas_passive
|stat2_value                         = 20
|stat_text                           = Ichor Pumps in your Maps have 100% increased Durability<br>[[Blight]] Towers and their [[Minion|Minions]] in your Maps deal 20% more Damage
}}
