{{Mod
|id                               = MonsterCrushOnHit
|domain                           = 3
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CrushOnHitChance
|mod_type                         = CrushOnHitChance
|game_mode                        = 0
|stat_text                        = [[Crushed|Crush]] on [[Hit]] (Hidden)
|stat1_id                         = chance_to_crush_on_hit_%
|stat1_min                        = 100
|stat1_max                        = 100
|tags                             = physical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
