{{Mod
|id                               = CannotCritNonShockedEnemiesUnique___1
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = CannotCritNonShockedEnemies
|mod_type                         = CannotCritNonShockedEnemies
|game_mode                        = 0
|stat_text                        = You cannot deal [[Critical strike|Critical Strikes]] against non-Shocked Enemies
|stat1_id                         = cannot_crit_non_shocked_enemies
|stat1_min                        = 1
|stat1_max                        = 1
|tags                             = critical
}}
