{{Mod
|id                               = SpellCriticalStrikeChanceEssence7
|mod_groups                       = SpellCriticalStrikeChanceIncrease
|domain                           = 1
|generation_type                  = 2
|required_level                   = 82
|name                             = of the Essence
|mod_type                         = SpellCriticalStrikeChance
|stat_text                        = (110-119)% increased [[Critical Strike Chance]] for [[Spell|Spells]]
|stat1_id                         = spell_critical_strike_chance_+%
|stat1_min                        = 110
|stat1_max                        = 119
|spawn_weight1_tag                = default
|spawn_weight1_value              = 0
|tags                             = caster, critical
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
