{{Mod
|id                               = SynthesisImplicitChaosGemQuality1
|mod_groups                       = SocketedGemQuality
|domain                           = 1
|generation_type                  = 3
|required_level                   = 40
|mod_type                         = SocketedChaosGemQuality
|stat_text                        = +(2-3)% to Quality of [[Item socket|Socketed]] Chaos Gems
|stat1_id                         = local_socketed_chaos_gem_quality_+
|stat1_min                        = 2
|stat1_max                        = 3
|tags                             = gem
}}
