{{Mod
|id                               = VillageLocalChanceForPoisonDamage
|domain                           = 1
|generation_type                  = 3
|required_level                   = 1
|mod_groups                       = LocalChanceForPoisonDamage100FinalInflictedWithThisWeapon
|mod_type                         = LocalChanceForPoisonDamage100FinalInflictedWithThisWeapon
|game_mode                        = 0
|stat_text                        = (10-20)% chance for [[Poison|Poisons]] inflicted with this Weapon to deal 100% more Damage
|stat1_id                         = local_chance_for_poison_damage_+100%_final_inflicted_with_this_weapon
|stat1_min                        = 10
|stat1_max                        = 20
|tags                             = chaos_damage, poison, village_runesmithing_enchant, damage, chaos, attack, ailment
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 5
}}
