{{Mod
|id                               = FlaskEffectInfluence1
|domain                           = 1
|generation_type                  = 1
|required_level                   = 75
|name                             = Redeemer's
|mod_groups                       = FlaskEffect
|mod_type                         = FlaskEffect
|game_mode                        = 0
|stat_text                        = [[Flask|Flasks]] applied to you have (4-7)% increased Effect
|stat1_id                         = flask_effect_+%
|stat1_min                        = 4
|stat1_max                        = 7
|spawn_weight1_tag                = belt_eyrie
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = flask, influence_mod
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 2
}}
