{{Base item
|rarity_id                               = normal
|name                                    = Treasure Hunter
|class_id                                = DivinationCard
|size_x                                  = 1
|size_y                                  = 1
|flavour_text                            = "Don't worry, I know what I'm doing."<br>- Toggo's Last Words
|drop_level                              = 68
|tags                                    = unique_divination, unique_corrupted_divination, maps_divination, maps_unique_divination, corrupted_divination, divination_card, default
|metadata_id                             = Metadata/Items/DivinationCards/DivinationCardTreasureHunter
|stack_size                              = 7
|description                             = {{c|unique|{{il|html=|Vaults of Atziri}}}}<br>{{c|corrupted|[[Corrupted]]}}
|stack_size_currency_tab                 = 5000
|help_text                               = Shift click to unstack.
}}
