{{Mod
|id                               = ColdsnapThresholdJewel__1
|mod_groups                       = ColdSnapThresholdJewel
|domain                           = 10
|generation_type                  = 3
|required_level                   = 1
|mod_type                         = ColdSnapThresholdJewel
|stat_text                        = With at least 40 [[Intelligence]] in Radius, [[Cold Snap]] grants [[Power Charge|Power Charges]] instead of [[Frenzy Charge|Frenzy Charges]] when Enemies die in its Area<br />With at least 40 [[Intelligence]] in Radius, Cold Snap's Cooldown can be bypassed by [[Power Charge|Power Charges]] instead of [[Frenzy Charge|Frenzy Charges]]
|stat1_id                         = local_unique_jewel_cold_snap_uses_gains_power_charges_instead_of_frenzy_with_40_int_in_radius
|stat1_min                        = 50
|stat1_max                        = 50
|stat2_id                         = local_jewel_effect_base_radius
|stat2_min                        = 1200
|stat2_max                        = 1200
|tags                             = caster
|sell_price1_name                 = Alchemy Shard
|sell_price1_amount               = 4
}}
