{{Passive skill
|id                                  = mine_mana_reservation2659
|int_id                              = 18661
|name                                = Mine Damage and Reservation Efficiency
|icon                                = MineManaReservationNode
|stat1_id                            = mine_damage_+%
|stat1_value                         = 8
|stat2_id                            = mana_reservation_efficiency_+%_for_skills_that_throw_mines
|stat2_value                         = 10
|stat_text                           = 8% increased [[Mine]] Damage<br>10% increased [[Mana Reservation]] Efficiency of [[Skill|Skills]] that throw [[Mine|Mines]]
|connections                         = mine_mana_reservation_notable2660,mine_mana_reservation2658,mine_mana_reservation_notable2660
}}
