{{Mod
|id                               = ChanceToImpaleInfluenceMaven_
|mod_groups                       = ImpaleOnHit
|domain                           = 1
|generation_type                  = 1
|required_level                   = 90
|name                             = Elevated Hunter's
|mod_type                         = AttackImpaleChanceMaven
|stat_text                        = (21-25)% chance to Impale Enemies on [[Hit]] with [[Attack|Attacks]]<br>Adds (1-2) to (3-5) [[Physical Damage]] for each Impale on Enemy
|stat1_id                         = attacks_impale_on_hit_%_chance
|stat1_min                        = 21
|stat1_max                        = 25
|stat2_id                         = minimum_added_physical_damage_per_impaled_on_enemy
|stat2_min                        = 1
|stat2_max                        = 2
|stat3_id                         = maximum_added_physical_damage_per_impaled_on_enemy
|stat3_min                        = 3
|stat3_max                        = 5
|spawn_weight1_tag                = gloves_basilisk
|spawn_weight1_value              = 0
|spawn_weight2_tag                = default
|spawn_weight2_value              = 0
|tags                             = physical, attack
|sell_price1_name                 = Alteration Shard
|sell_price1_amount               = 3
}}
